Index,Donor,Acceptor,Reference,Excitation energy (ECT),OSc,ECT - E1S,ECT - ET1,CT,FF(%),SMILES(donor),SMILES(acceptor),Donor_HOMO(ev),Donor_LUMO(ev),Donor_bandgap(ev),Acceptor_HOMO(ev),Acceptor_LUMO(ev),Acceptor_bandgap(ev),POS,PR,COH,PRNTO,Z_HE,RMSeh,PCE(%)
1,PBDB-TF(PM6),Y6,https://doi.org/10.1016/j.nanoen.2023.108429,3.523,0.00132,1.2768,1.990413,0.793,77.0,CC1=CC2=C(C3=CC(F)=C(CC(CCCC)CC)S3)C4=C(C=C(C5=CC=C(C6=C7C(C(C8=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C8C7=O)=O)=C(C9=CC=C(C)S9)S6)S5)S4)C(C%10=CC(F)=C(CC(CCCC)CC)S%10)=C2S1,CCC(CCCC)CCn1c2c(sc3c(CCCCCCCCCCCC)c(/C=C4C(=C(/C#N)C#N)\c5cc(F)c(F)cc5C4=O)sc32)c2c3nsnc3c3c(n(CCC(CCCC)CC)c4c5sc(/C=C6C(=C(/C#N)C#N)\c7cc(F)c(F)cc7C6=O)c(CCCCCCCCCCCC)c5sc43)c21,5.45,3.65,1.89,5.6,4.1,1.5,1.579,1.294,1.234,1.927,2.76,8.049,36.3
2,PB2,FTCC-Br,https://doi.org/10.1002/adma.202207009,3.9787,0.11846,1.0254,1.716201,0.798919,81.1,CCC(CCCC)Cc1ccc(s1)c1c2cc(sc2c(c2ccc(CC(CC)CCCC)s2)c2cc(C)sc12)c1cc(CC(CC)CCCC)c(s1)c1nnc(s1)c1sc(C)cc3CC(CC)CCCC,N#C/C(C#N)=C1\c2cc(Br)sc2C(=O)C1=C/c1cc2c(s1)C(CCCCCC)(CCCCC)c1cc3c4cc5c(cc4C(CCCCCCCC)(CCCCCCCC)c3cc12)c1sc(cc1C5(CCCCCC)CCCCCC)/C=C1/C(c2cc(Br)sc2C1=O)=C(/C#N)C#N,5.48,3.42,2.06,5.64,3.78,1.86,1.558,1.226,1.224,1.356,1.773,5.741,30.2
3,PB2,FCC-Cl,https://doi.org/10.1016/j.joule.2023.04.003,3.5556,0.035148432,0.951113,1.877583,0.898655,78.9,CCC(CCCC)Cc1ccc(s1)c1c2cc(sc2c(c2ccc(CC(CC)CCCC)s2)c2cc(C)sc12)c1cc(CC(CC)CCCC)c(s1)c1nnc(s1)c1sc(C)cc1CC(CC)CCCC,O=C1c2sc(Cl)cc2/C(/C1=C/c1cc2c(s1)C(CCCCCCCC)(CCCCCCCC)c1cc3c4cc5c(cc4C(CCCCCCCC)(CCCCCCCC)c3cc12)c1sc(cc1C5(CCCCCCCC)CCCCCCCC)/C=C1/C(c2cc(Cl)sc2C1=O)=C(/C#N)C#N)=C(\C#N)C#N,5.48,3.42,2.06,5.73,3.71,2.02,1.505,1.108,1.112,1.12,1.387,6.781,29.0
4,D18,FCC-Cl-4Ph,https://doi.org/10.1016/j.nanoen.2022.107281,3.550862,0.005382973,0.839041,1.791802,0.838879,78.5,CCC(CCCC)Cc1sc(cc1F)c1c2cc(sc2c(c2cc(F)c(CC(CC)CCCC)s2)c2cc(C)sc12)c1sc(cc1CC(CCCC)CCCCCC)c1sc2c(c1)c1nsnc1c1cc(sc21)c1cc(CC(CCCC)CCCCCC)c(C)s1,CCCCCCc1cccc(c1)C1(c2cccc(CCCCCC)c2)c2cc3c4cc5c(cc4C(CCCCCCCC)(CCCCCCCC)c3cc2c2sc(cc21)/C=C1/C(c2cc(Cl)sc2C1=O)=C(/C#N)C#N)c1cc(/C=C2C(\c3cc(Cl)sc3C2=O)=C(\C#N)C#N)sc1C5(c1cccc(c1)CCCCCC)c1ccc(cc1)CCCCCC,5.43,3.46,1.97,5.75,3.74,2.01,1.443,1.181,1.171,1.407,1.745,6.373,28.9
5,PBDB-TF(PM6),FCC-Cl,https://doi.org/10.1016/j.joule.2021.03.020,3.4551,0.00941,0.8747,1.776883,0.941165,81.0,CC1=CC2=C(C3=CC(F)=C(CC(CCCC)CC)S3)C4=C(C=C(C5=CC=C(C6=C7C(C(C8=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C8C7=O)=O)=C(C9=CC=C(C)S9)S6)S5)S4)C(C%10=CC(F)=C(CC(CCCC)CC)S%10)=C2S1,O=C1c2sc(Cl)cc2/C(/C1=C/c1cc2c(s1)C(CCCCCCCC)(CCCCCCCC)c1cc3c4cc5c(cc4C(CCCCCCCC)(CCCCCCCC)c3cc12)c1sc(cc1C5(CCCCCCCC)CCCCCCCC)/C=C1/C(c2cc(Cl)sc2C1=O)=C(/C#N)C#N)=C(\C#N)C#N,5.45,3.65,1.89,5.73,3.71,2.02,1.494,1.062,1.061,1.081,1.244,7.048,28.3
6,PB2,F-BTA3,https://doi.org/10.1002/adma.202105803,3.778,0.02699,1.3278,2.20244,0.921892,78.8,CCC(CCCC)Cc1ccc(s1)c1c2cc(sc2c(c2ccc(CC(CC)CCCC)s2)c2cc(C)sc12)c1cc(CC(CC)CCCC)c(s1)c1nnc(s1)c1sc(C)cc1CC(CC)CCCC,CCCCCCCCN1N=C(C(/C=C2S/C(N(CC)C/2=O)=C(C#N)\C#N)=CC(F)=C3C4=CC5=C(S4)C6=C(C=C(C(SC(C7=C(F)C=C(/C=C8S/C(N(CC)C/8=O)=C(C#N)/C#N)C9=NN(CCCCCCCC)N=C79)=C%10)=C%10C%11(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%11=C6)C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C3=N1,5.48,3.42,2.06,5.59,3.82,1.77,1.5,1.045,1.032,1.11,1.328,8.754,27.1
7,PBQx-TCl,DTz-R1,https://doi.org/10.1007/s10118-022-2761-x,3.2861,0.1004,0.7155,1.67335,0.726899,81.1,CCCCC(CCCCCC)Cc1cc(sc1C)c1cc2c3nccnc3c3cc(sc3c2s1)c1cc(CC(CCCC)CCCCCC)c(s1)c1cc2c(s1)c(c1cc(Cl)c(CC(CC)CCCC)s1)c1cc(C)sc1c2c1cc(Cl)c(CC(CCCC)CC)s1,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc(sc2c2cc3c(cc21)c1sc(cc1C3(c1ccc(CCCCCC)cc1)c1ccc(CCCCCC)cc1)C1C=CC(/C=C2/S\C(=C(/C#N)C#N)N(C)C2=O)c2nn(CCCCCCCC)nc12)c1ccc(\C=C2\S/C(=C(/C#N)C#N)N(C)C2=O)c2nn(nc21)CCCCCCCC,5.43,2.96,2.47,5.5,3.6,1.9,1.612,1.326,1.274,1.573,2.474,6.401,26.8
8,TPD-3F,IT-4F,https://doi.org/10.1016/j.joule.2019.11.006,3.2881,0.1978,0.91,1.7138,0.407325,65.1,FC1=C(CC(CCCCCC)CCCCCCCC)SC(C2=C(SC(C3=CC=C(C4=C(C5=O)C(C(N5CCCCCCCC)=O)=C(C6=CC=C(C)S6)S4)S3)=C7)C7=C(C8=CC(F)=C(CC(CCCCCCCC)CCCCCC)S8)C9=C2C=C(C)S9)=C1,CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=C(F)C(F)=C6)=C6C\5=C(C#N)/C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C%12SC%13=C%11SC(/C=C(/C(C%14=C%15C=C(C(F)=C%14)F)=C(C#N)\C#N)C%15=O)=C%13)C%12=C8,5.62,3.73,1.89,5.66,4.14,1.52,1.714,1.589,1.457,2.617,4.43,6.599,26.2
9,PBDB-TF(PM6),IO-4Cl,https://doi.org/10.1038/s41560-019-0448-5,2.921946,0.078289875,0.207446,1.443296,0.776842,79.1,FC1=C(CCCCCC)SC(C2=C(SC(C3=CC=C(C4=C5C(C(C6=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C(C)S7)S4)S3)=C8)C8=C(C9=CC(F)=C(CCCCCC)S9)C%10=C2C=C(C)S%10)=C1,CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(C=C(Cl)C(Cl)=C6)=C6C\5=C(C#N)/C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C%12SC%13=C%11SC(/C=C%14C(C(C=C(Cl)C(Cl)=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)C%12=C8,5.45,3.65,1.8,5.72,3.83,1.89,1.570,1.256,1.247,1.446,2.139,7.001,26.1
10,PB2,ITCC,https://doi.org/10.1002/adma.202207009,3.6503,0.00087,1.2045,2.01564,0.958321,76.6,CCC(CCCC)Cc1ccc(s1)c1c2cc(sc2c(c2ccc(CC(CC)CCCC)s2)c2cc(C)sc12)c1cc(CC(CC)CCCC)c(s1)c1nnc(s1)c1sc(C)cc2CC(CC)CCCC,CCCCCCC(C=C1)=CC=C1C(C2=C3SC4=C2SC(/C=C5C(C(SC=C6)=C6C\5=C(C#N)/C#N)=O)=C4)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C%12SC%13=C%11SC(/C=C%14C(C(SC=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)C%12=C8,5.48,3.42,2.06,5.62,3.77,1.85,1.508,1.044,1.044,1.148,1.415,8.615,25.4
